Tank Farm,Line,Event Type,Event Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH
ATJ,02,BATCHSTOP,9/25/2023 7:05:59 PM,SWJ-54-521,,,0,0,0
ATJ,02,BATCHSTART,9/25/2023 7:05:59 PM,TMS-56-521,,,15000,15000,8303
ATJ,02,BATCHSTOP,9/25/2023 8:54:23 PM,TMS-56-521,,,0,0,0
ATJ,02,BATCHSTART,9/25/2023 8:54:23 PM,TMS-54-521,,,20000,20000,8303
ATJ,02,BATCHSTOP,9/25/2023 11:18:54 PM,TMS-54-521,,,0,0,0
ATJ,02,BATCHSTART,9/25/2023 11:18:54 PM,WFS-54-521,,,32480,32500,8303
ATJ,02,BATCHSTOP,9/26/2023 3:13:37 AM,WFS-54-521,,,0,0,0
ATJ,02,SUPERSTOP,9/26/2023 3:13:36 AM,JA1-54-521,,,0,0,0
ATJ,02,SUPERSTART,9/26/2023 6:26:21 AM,JA1-62-521,,,1069965,1070000,12167
ATJ,02,BATCHSTART,9/26/2023 6:26:21 AM,ATL-62-521,,,10000,10000,12167
ATJ,02,BATCHSTOP,9/26/2023 7:15:40 AM,ATL-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/26/2023 7:15:40 AM,BPO-62-521,,,29000,29000,12167
ATJ,02,BATCHSTOP,9/26/2023 9:38:41 AM,BPO-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/26/2023 9:38:41 AM,CIT-62-521,,,30000,30000,12167
ATJ,02,BATCHSTOP,9/26/2023 12:06:37 PM,CIT-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/26/2023 12:06:37 PM,CNL-62-521,,,10000,10000,12167
ATJ,02,BATCHSTOP,9/26/2023 12:55:56 PM,CNL-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/26/2023 12:55:56 PM,DKS-62-521,,,23500,23500,12167
ATJ,02,BATCHSTOP,9/26/2023 2:51:49 PM,DKS-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/26/2023 2:51:49 PM,EVA-62-52B,,,37500,37500,12167
ATJ,02,BATCHSTOP,9/26/2023 5:56:45 PM,EVA-62-52B,,,0,0,0
ATJ,02,BATCHSTART,9/26/2023 5:56:45 PM,FHR-62-521,,,25000,25000,12167
ATJ,02,BATCHSTOP,9/26/2023 8:00:02 PM,FHR-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/26/2023 8:00:02 PM,GPC-62-521,,,15000,15000,12167
ATJ,02,BATCHSTOP,9/26/2023 9:14:00 PM,GPC-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/26/2023 9:14:00 PM,GUT-62-521,,,5000,5000,12167
ATJ,02,BATCHSTOP,9/26/2023 9:38:40 PM,GUT-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/26/2023 9:38:40 PM,HOM-62-521,,,40000,40000,12167
ATJ,02,BATCHSTOP,9/27/2023 12:55:55 AM,HOM-62-521,,,0,0,0
ATJ,02,BATCHSTART,9/27/2023 12:55:55 AM,JWE-62-521,,,10000,10000,12167
ATJ,02,BATCHSTOP,9/27/2023 1:45:14 AM,JWE-62-521,,,0,0,0
