"Tank Farm","Line","Event Type","Event Date Time","Batch","Sup/Con","Tankage","Actual","Total","BPH"
"ATJ","01","BATCHSTART","9/12/2023 1:52:29 PM","MAC-D2-491","","","35000","35000","27692"
"ATJ","01","BATCHSTOP","9/12/2023 3:08:20 PM","MAC-D2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/12/2023 3:08:20 PM","MXE-D2-491","","","22500","22500","27692"
"ATJ","01","BATCHSTOP","9/12/2023 3:57:05 PM","MXE-D2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/12/2023 3:57:05 PM","PHI-D2-491","","","10000","10000","27692"
"ATJ","01","BATCHSTOP","9/12/2023 4:18:45 PM","PHI-D2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/12/2023 4:18:45 PM","SHT-D2-49B","","","10500","10500","27692"
"ATJ","01","BATCHSTOP","9/12/2023 4:41:30 PM","SHT-D2-49B","","","0","0","0"
"ATJ","01","BATCHSTART","9/12/2023 4:41:30 PM","MXE-D2-492","","","2500","2500","27692"
"ATJ","01","BATCHSTOP","9/12/2023 4:46:55 PM","MXE-D2-492","","","0","0","0"
"ATJ","01","BATCHSTART","9/12/2023 4:46:55 PM","VAL-D2-49D","","","10000","10000","27692"
"ATJ","01","BATCHSTOP","9/12/2023 5:08:35 PM","VAL-D2-49D","","","0","0","0"
"ATJ","01","BATCHSTART","9/12/2023 5:08:35 PM","MTV-D2-492","","","22500","22500","27692"
"ATJ","01","BATCHSTOP","9/12/2023 5:57:20 PM","MTV-D2-492","","","0","0","0"
"ATJ","01","BATCHSTART","9/12/2023 5:57:20 PM","MTV-D2-493","","","2500","2500","27692"
"ATJ","01","BATCHSTOP","9/12/2023 6:02:45 PM","MTV-D2-493","","","0","0","0"
"ATJ","01","BATCHSTART","9/12/2023 6:02:45 PM","QTC-D2-49E","","","12500","12500","27692"
"ATJ","01","BATCHSTOP","9/12/2023 6:29:50 PM","QTC-D2-49E","","","0","0","0"
"ATJ","01","BATCHSTART","9/12/2023 6:29:50 PM","TRA-D2-491","","","5000","5000","27692"
"ATJ","01","BATCHSTOP","9/12/2023 6:40:40 PM","TRA-D2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/12/2023 6:40:40 PM","QTC-D2-49C","","","16500","16500","27692"
"ATJ","01","BATCHSTOP","9/12/2023 7:16:25 PM","QTC-D2-49C","","","0","0","0"
"ATJ","01","BATCHSTART","9/12/2023 7:16:25 PM","DKS-D2-491","","","500","10500","27692"
"ATJ","01","BATCHSTOP","9/12/2023 7:17:30 PM","DKS-D2-491","","","0","0","0"
"ATJ","01","SUPERSTOP","9/12/2023 7:17:00 PM","JA1-D2-491","","","0","0","0"
"ATJ","01","SUPERSTART","9/13/2023 1:22:00 PM","JA1-A2-501","","","377000","377000","21667"
"ATJ","01","BATCHSTART","9/13/2023 1:22:00 PM","HOM-A2-501","","","15000","15000","21667"
"ATJ","01","BATCHSTOP","9/13/2023 2:03:32 PM","HOM-A2-501","","","0","0","0"
"ATJ","01","BATCHSTART","9/13/2023 2:03:32 PM","FHR-A2-501","","","15000","15000","21667"
"ATJ","01","BATCHSTOP","9/13/2023 2:45:04 PM","FHR-A2-501","","","0","0","0"
"ATJ","01","BATCHSTART","9/13/2023 2:45:04 PM","DKS-A2-501","","","33500","33500","21667"
"ATJ","01","BATCHSTOP","9/13/2023 4:17:50 PM","DKS-A2-501","","","0","0","0"
"ATJ","01","BATCHSTART","9/13/2023 4:17:50 PM","MAC-A2-501","","","30000","30000","21667"
"ATJ","01","BATCHSTOP","9/13/2023 5:40:55 PM","MAC-A2-501","","","0","0","0"
"ATJ","01","BATCHSTART","9/13/2023 5:40:55 PM","MTV-A2-501","","","25000","25000","21667"
"ATJ","01","BATCHSTOP","9/13/2023 6:50:08 PM","MTV-A2-501","","","0","0","0"
"ATJ","01","BATCHSTART","9/13/2023 6:50:08 PM","TRA-A2-501","","","5000","5000","21667"
"ATJ","01","BATCHSTOP","9/13/2023 7:03:59 PM","TRA-A2-501","","","0","0","0"
"ATJ","01","BATCHSTART","9/13/2023 7:03:59 PM","PHI-A2-501","","","47000","47000","21667"
"ATJ","01","BATCHSTOP","9/13/2023 9:14:08 PM","PHI-A2-501","","","0","0","0"
"ATJ","01","BATCHSTART","9/13/2023 9:14:08 PM","CIT-A2-501","","","34000","34000","21667"
"ATJ","01","BATCHSTOP","9/13/2023 10:48:17 PM","CIT-A2-501","","","0","0","0"
"ATJ","01","BATCHSTART","9/13/2023 10:48:17 PM","SHT-A2-50B","","","144000","144000","21667"
"ATJ","01","BATCHSTOP","9/14/2023 5:27:03 AM","SHT-A2-50B","","","0","0","0"
"ATJ","01","BATCHSTART","9/14/2023 5:27:03 AM","MUC-A2-504","","","12000","12000","21667"
"ATJ","01","BATCHSTOP","9/14/2023 6:00:17 AM","MUC-A2-504","","","0","0","0"
"ATJ","01","BATCHSTART","9/14/2023 6:00:17 AM","MOB-A2-501","","","16500","20000","21667"
"ATJ","01","BATCHSTOP","9/14/2023 6:45:59 AM","MOB-A2-501","","","0","0","0"
"ATJ","01","SUPERSTOP","9/14/2023 6:46:20 AM","JA1-A2-501","","","0","0","0"
"ATJ","01","SUPERSTART","9/14/2023 6:46:20 AM","JA1-A3-501","","","1064998","1065000","16326"
"ATJ","01","BATCHSTART","9/14/2023 6:46:20 AM","BPO-A3-501","","","65000","65000","16326"
"ATJ","01","BATCHSTOP","9/14/2023 10:45:13 AM","BPO-A3-501","","","0","0","0"
"ATJ","01","BATCHSTART","9/14/2023 10:45:13 AM","BZA-A3-501","","","22500","22500","16326"
