,Tank Farm,Line,Event Type,Event Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH,SuperBatch
131,ATJ,02,BATCHSTART,9/26/2023 9:14:00 PM,GUT-62-521,,,5000,5000,12167,JA1-62-521
132,ATJ,02,BATCHSTOP,9/26/2023 9:38:40 PM,GUT-62-521,,,0,0,0,JA1-62-521
133,ATJ,02,BATCHSTART,9/26/2023 9:38:40 PM,HOM-62-521,,,40000,40000,12167,JA1-62-521
134,ATJ,02,BATCHSTOP,9/27/2023 12:55:55 AM,HOM-62-521,,,0,0,0,JA1-62-521
135,ATJ,02,BATCHSTART,9/27/2023 12:55:55 AM,JWE-62-521,,,10000,10000,12167,JA1-62-521
136,ATJ,02,BATCHSTOP,9/27/2023 1:45:14 AM,JWE-62-521,,,0,0,0,JA1-62-521
137,ATJ,02,BATCHSTART,9/27/2023 1:45:14 AM,MAC-62-521,,,129000,129000,12167,JA1-62-521
138,ATJ,02,BATCHSTOP,9/27/2023 12:21:23 PM,MAC-62-521,,,0,0,0,JA1-62-521
139,ATJ,02,BATCHSTART,9/27/2023 12:21:23 PM,MFD-62-521,,,5000,5000,12167,JA1-62-521
140,ATJ,02,BATCHSTOP,9/27/2023 12:46:02 PM,MFD-62-521,,,0,0,0,JA1-62-521
141,ATJ,02,BATCHSTART,9/27/2023 12:46:02 PM,MGC-62-521,,,5000,5000,12167,JA1-62-521
142,ATJ,02,BATCHSTOP,9/27/2023 1:10:41 PM,MGC-62-521,,,0,0,0,JA1-62-521
143,ATJ,02,BATCHSTART,9/27/2023 1:10:41 PM,MOB-62-521,,,12500,12500,12167,JA1-62-521
144,ATJ,02,BATCHSTOP,9/27/2023 2:12:20 PM,MOB-62-521,,,0,0,0,JA1-62-521
145,ATJ,02,BATCHSTART,9/27/2023 2:12:20 PM,MTV-62-521,,,75000,75000,12167,JA1-62-521
146,ATJ,02,BATCHSTOP,9/27/2023 8:22:11 PM,MTV-62-521,,,0,0,0,JA1-62-521
147,ATJ,02,BATCHSTART,9/27/2023 8:22:11 PM,MUC-62-522,,,27000,27000,12167,JA1-62-521
148,ATJ,02,BATCHSTOP,9/27/2023 10:35:20 PM,MUC-62-522,,,0,0,0,JA1-62-521
149,ATJ,02,BATCHSTART,9/27/2023 10:35:20 PM,MUS-62-52A,,,35000,35000,12167,JA1-62-521
150,ATJ,02,BATCHSTOP,9/28/2023 1:27:56 AM,MUS-62-52A,,,0,0,0,JA1-62-521
151,ATJ,02,BATCHSTART,9/28/2023 1:27:56 AM,MXE-62-522,,,2500,2500,12167,JA1-62-521
152,ATJ,02,BATCHSTOP,9/28/2023 1:40:15 AM,MXE-62-522,,,0,0,0,JA1-62-521
153,ATJ,02,BATCHSTART,9/28/2023 1:40:15 AM,MXE-62-521,,,21000,21000,12167,JA1-62-521
154,ATJ,02,BATCHSTOP,9/28/2023 3:23:49 AM,MXE-62-521,,,0,0,0,JA1-62-521
155,ATJ,02,BATCHSTART,9/28/2023 3:23:49 AM,PHI-62-521,,,44500,44500,12167,JA1-62-521
156,ATJ,02,BATCHSTOP,9/28/2023 7:03:16 AM,PHI-62-521,,,0,0,0,JA1-62-521
157,ATJ,02,BATCHSTART,9/28/2023 7:03:16 AM,PTC-62-521,,,12500,12500,12167,JA1-62-521
158,ATJ,02,BATCHSTOP,9/28/2023 8:04:54 AM,PTC-62-521,,,0,0,0,JA1-62-521
159,ATJ,02,BATCHSTART,9/28/2023 8:04:54 AM,QTC-62-521,,,40000,40000,12167,JA1-62-521
160,ATJ,02,BATCHSTOP,9/28/2023 11:22:10 AM,QTC-62-521,,,0,0,0,JA1-62-521
161,ATJ,02,BATCHSTART,9/28/2023 11:22:10 AM,RKO-62-521,,,30000,30000,12167,JA1-62-521
162,ATJ,02,BATCHSTOP,9/28/2023 1:50:06 PM,RKO-62-521,,,0,0,0,JA1-62-521
163,ATJ,02,BATCHSTART,9/28/2023 1:50:06 PM,SBP-62-521,,,15000,15000,12167,JA1-62-521
