Rank,Tank,Line,Product,Flag2,Time_min,Time_max,Volume,Start_Date_Time,Finish_Date_Time,Volume_Exists
115,352,02,54,21,76,80,41.515,2023-09-25 09:00:00,2023-09-25 14:00:00,25.0
116,352,02,54,22,83,95,101.463,2023-09-25 16:00:00,2023-09-26 05:00:00,25.0
117,352,13,54,132,75,80,9.683,2023-09-25 08:00:00,2023-09-25 14:00:00,25.0
118,352,16,54,133,70,112,88.15,2023-09-25 03:00:00,2023-09-26 22:00:00,25.0
119,352,16,54,134,114,129,32.8,2023-09-26 23:00:00,2023-09-27 15:00:00,25.0
120,352,16,54,135,191,203,26.65,2023-09-30 04:00:00,2023-09-30 17:00:00,25.0
121,352,20,54,136,155,160,9.6,2023-09-28 16:00:00,2023-09-28 22:00:00,25.0
122,352,20,54,137,162,171,16.0,2023-09-28 23:00:00,2023-09-29 09:00:00,25.0
123,352,20,54,138,174,179,8.512,2023-09-29 11:00:00,2023-09-29 17:00:00,25.0
124,353,02,54,23,56,59,33.212,2023-09-24 13:00:00,2023-09-24 17:00:00,69.0
125,353,02,54,24,61,61,8.303,2023-09-24 18:00:00,2023-09-24 19:00:00,69.0
126,353,02,54,25,63,68,49.818,2023-09-24 20:00:00,2023-09-25 02:00:00,69.0
127,353,16,54,139,68,69,3.834,2023-09-25 01:00:00,2023-09-25 03:00:00,69.0
128,353,16,54,140,130,190,125.05,2023-09-27 15:00:00,2023-09-30 04:00:00,69.0
129,353,16,54,141,204,206,5.474,2023-09-30 17:00:00,2023-09-30 20:00:00,69.0
130,353,20,54,142,161,161,1.6,2023-09-28 22:00:00,2023-09-28 23:00:00,69.0
131,354,02,54,26,60,60,8.303,2023-09-24 17:00:00,2023-09-24 18:00:00,130.0
132,354,02,54,27,62,62,8.303,2023-09-24 19:00:00,2023-09-24 20:00:00,130.0
133,354,02,54,28,72,72,8.303,2023-09-25 05:00:00,2023-09-25 06:00:00,130.0
134,354,16,54,143,113,113,2.05,2023-09-26 22:00:00,2023-09-26 23:00:00,130.0
135,354,20,54,144,173,173,1.6,2023-09-29 10:00:00,2023-09-29 11:00:00,130.0
136,360,02,62,29,113,114,24.455,2023-09-26 22:00:00,2023-09-27 00:00:00,81.0
137,360,13,62,145,190,190,1.636,2023-09-30 03:00:00,2023-09-30 04:00:00,81.0
138,370,02,54,30,53,55,21.339,2023-09-24 10:00:00,2023-09-24 13:00:00,26.0
139,370,02,54,31,73,75,24.909,2023-09-25 06:00:00,2023-09-25 09:00:00,26.0
140,370,02,54,32,81,82,16.606,2023-09-25 14:00:00,2023-09-25 16:00:00,26.0
141,370,18,54,146,123,123,4.32,2023-09-27 08:00:00,2023-09-27 09:00:00,26.0
142,370,20,54,147,151,154,6.08,2023-09-28 12:00:00,2023-09-28 16:00:00,26.0
143,370,20,54,148,172,172,1.6,2023-09-29 09:00:00,2023-09-29 10:00:00,26.0
144,374,02,62,33,115,127,158.171,2023-09-27 00:00:00,2023-09-27 13:00:00,21.0
145,374,02,62,34,175,177,36.501,2023-09-29 12:00:00,2023-09-29 15:00:00,21.0
146,374,13,62,149,81,82,3.484,2023-09-25 14:00:00,2023-09-25 16:00:00,21.0
147,374,14,62,150,79,79,2.1,2023-09-25 12:00:00,2023-09-25 13:00:00,21.0
148,374,14,62,151,81,83,6.3,2023-09-25 14:00:00,2023-09-25 17:00:00,21.0
149,374,17,62,152,187,193,30.735,2023-09-30 00:00:00,2023-09-30 07:00:00,21.0
150,374,20,62,153,150,150,0.192,2023-09-28 11:00:00,2023-09-28 12:00:00,21.0
151,374,20,62,154,189,199,17.6,2023-09-30 02:00:00,2023-09-30 13:00:00,21.0
152,374,20,62,155,293,330,60.8,2023-10-04 10:00:00,2023-10-06 00:00:00,21.0
153,374,2A,62,156,119,119,2.85,2023-09-27 04:00:00,2023-09-27 05:00:00,21.0
154,374,2A,62,157,126,126,1.083,2023-09-27 11:00:00,2023-09-27 12:00:00,21.0
155,376,02,62,35,98,112,177.273,2023-09-26 07:00:00,2023-09-26 22:00:00,32.0
156,376,02,62,36,128,174,571.604,2023-09-27 13:00:00,2023-09-29 12:00:00,32.0
157,376,02,62,37,178,186,101.959,2023-09-29 15:00:00,2023-09-30 00:00:00,32.0
158,376,13,62,158,140,189,94.361,2023-09-28 01:00:00,2023-09-30 03:00:00,32.0
159,376,14,62,159,80,80,2.1,2023-09-25 13:00:00,2023-09-25 14:00:00,32.0
160,376,14,62,160,84,104,42.693,2023-09-25 17:00:00,2023-09-26 14:00:00,32.0
161,376,17,62,161,133,186,239.76,2023-09-27 18:00:00,2023-09-30 00:00:00,32.0
162,376,18,62,162,124,174,300.48,2023-09-27 09:00:00,2023-09-29 12:00:00,32.0
163,376,20,62,163,180,188,14.4,2023-09-29 17:00:00,2023-09-30 02:00:00,32.0
164,376,20,62,164,200,292,148.8,2023-09-30 13:00:00,2023-10-04 10:00:00,32.0
165,376,2A,62,165,111,118,21.46,2023-09-26 20:00:00,2023-09-27 04:00:00,32.0
166,376,2A,62,166,120,125,17.1,2023-09-27 05:00:00,2023-09-27 11:00:00,32.0
