Code,Start Date/Time,End Date/Time,S/C,Tnk,Line,Volume,Tank,Product Grade,BTank,Volume_Tank,Rate,Operation Code - Comment,file,Start,End,Identifier,OJKLation Code - Comment,OGHIation Code - Comment,Client,Product,Cycle,Type,Time_difference,Time_in_hours,Vol_per_Hr,Exclude,Pick,Rank
JA1-A4-031,2023-01-26 10:59:00,2023-01-26 19:50:00,,,18,51.852,336,A4,336,113.783,5.85,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-26 10:59:00,2023-01-26 19:50:00,JA1-A4-031//2023-01-26 10:59:00//2023-01-26 19:50:00//18,,,JA1,A,031,Out,0 days 08:51:00,8.85,5.858983050847457,0,1.0,2
JA1-D4-031,2023-01-27 00:57:00,2023-01-27 08:47:00,,,18,37.651,312,D4,316,42.172,4.8,Empty to Low Level and Switch,ATJ.2023.01.18.xlsx,2023-01-27 00:57:00,2023-01-27 08:47:00,JA1-D4-031//2023-01-27 00:57:00//2023-01-27 08:47:00//18,,,JA1,D,031,Out,0 days 07:50:00,7.833333333333333,4.806510638297873,0,1.0,3
JA1-D4-031,2023-01-27 08:47:00,2023-01-27 09:54:00,,,18,5.349,316,D4,316,65.902,4.8,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-27 08:47:00,2023-01-27 09:54:00,JA1-D4-031//2023-01-27 08:47:00//2023-01-27 09:54:00//18,,,JA1,D,031,Out,0 days 01:07:00,1.1166666666666667,4.790149253731343,0,1.0,2
JA2-A4-032,2023-01-27 09:54:00,2023-01-27 11:37:00,,,18,10.0,317,A4,317,123.222,5.85,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-27 09:54:00,2023-01-27 11:37:00,JA2-A4-032//2023-01-27 09:54:00//2023-01-27 11:37:00//18,,,JA2,A,031,Out,0 days 01:43:00,1.7166666666666666,5.825242718446602,0,1.0,9
JA1-54-031,2023-01-27 11:37:00,2023-01-27 13:35:00,,,18,11.5,354,54,354,61.449,5.85,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-27 11:37:00,2023-01-27 13:35:00,JA1-54-031//2023-01-27 11:37:00//2023-01-27 13:35:00//18,,,JA1,54,031,Out,0 days 01:58:00,1.9666666666666666,5.8474576271186445,0,1.0,3
JA1-62-031,2023-01-27 13:35:00,2023-01-28 00:00:00,,,18,59.031,360,62,360,60.629,5.85,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-27 13:35:00,2023-01-28 00:00:00,JA1-62-031//2023-01-27 13:35:00//2023-01-28 00:00:00//18,,,JA1,62,031,Out,0 days 10:25:00,10.416666666666666,5.666976,0,1.0,2
JA1-A4-031,2023-01-22 02:41:00,2023-01-22 21:06:00,,,19,82.919,310,A4,311,85.913,4.5,Empty to Low Level and Switch,ATJ.2023.01.18.xlsx,2023-01-22 02:41:00,2023-01-22 21:06:00,JA1-A4-031//2023-01-22 02:41:00//2023-01-22 21:06:00//19,,,JA1,A,031,Out,0 days 18:25:00,18.416666666666668,4.502389140271493,0,1.0,1
JA1-A4-031,2023-01-22 21:06:00,2023-01-23 21:22:00,,,19,108.115,311,A4,333,111.957,4.5,Empty to Low Level and Switch,ATJ.2023.01.18.xlsx,2023-01-22 21:06:00,2023-01-23 21:22:00,JA1-A4-031//2023-01-22 21:06:00//2023-01-23 21:22:00//19,,,JA1,A,031,Out,1 days 00:16:00,24.266666666666666,4.455288461538461,0,1.0,2
JA1-A4-031,2023-01-23 21:22:00,2023-01-25 18:17:00,,,19,197.466,333,A4,333,123.896,4.5,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-23 21:22:00,2023-01-25 18:17:00,JA1-A4-031//2023-01-23 21:22:00//2023-01-25 18:17:00//19,,,JA1,A,031,Out,1 days 20:55:00,44.916666666666664,4.396274582560297,0,1.0,2
JA1-D4-031,2023-01-25 20:03:00,2023-01-26 08:23:00,,,19,55.5,337,D4,337,68.911,4.5,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-25 20:03:00,2023-01-26 08:23:00,JA1-D4-031//2023-01-25 20:03:00//2023-01-26 08:23:00//19,,,JA1,D,031,Out,0 days 12:20:00,12.333333333333334,4.5,0,1.0,2
JA1-54-031,2023-01-26 03:40:00,2023-01-27 03:48:00,,,20,35.0,354,54,354,61.34,1.45,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-26 03:40:00,2023-01-27 03:48:00,JA1-54-031//2023-01-26 03:40:00//2023-01-27 03:48:00//20,,,JA1,54,031,Out,1 days 00:08:00,24.133333333333333,1.4502762430939227,0,1.0,2
JA1-62-031,2023-01-27 03:48:00,2023-01-28 00:00:00,,,20,29.281,361,62,361,109.868,1.45,Empty to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-27 03:48:00,2023-01-28 00:00:00,JA1-62-031//2023-01-27 03:48:00//2023-01-28 00:00:00//20,,,JA1,62,031,Out,0 days 20:12:00,20.2,1.4495544554455446,0,1.0,2
